IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
43.138.223.103,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
43.139.148.171,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,545,45954,183,16562,362,29392
47.107.217.159,Support,None,None,None,None,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",CN,rp.hpplay.cn,rp.hpplay.cn,None,None,611,69217,305,25432,306,43785
47.113.57.36,Support,None,None,None,None,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",CN,rp.hpplay.cn,rp.hpplay.cn,None,None,522,59209,260,21702,262,37507
47.113.57.59,Support,None,None,None,None,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",CN,rp.hpplay.cn,rp.hpplay.cn,None,None,491,56040,245,20482,246,35558
47.113.66.37,Support,None,None,None,None,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",CN,rp.hpplay.cn,rp.hpplay.cn,None,None,431,48680,215,17902,216,30778
61.170.77.222,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1660,5,1034,6,626
61.170.77.224,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,32,4927,14,3037,18,1890
61.170.77.225,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,20,3194,8,1942,12,1252
61.170.77.226,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1596,4,970,6,626
61.170.77.228,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1596,4,970,6,626
