IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
2001:4de0:ac10::1:1:18,Support,None,None,None,None,NA,NL,None,None,None,None,10,1544,5,663,5,881
2001:4de0:ac10::1:1:19,Support,None,None,None,None,NA,NL,None,None,None,None,381,90697,200,65369,181,25328
209.197.3.8,Support,None,None,None,None,NA,US,None,None,None,None,14,1694,9,878,5,816
23.12.145.18,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.12.145.27,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.12.145.29,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.12.145.6,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1810,10,938,10,872
23.15.9.24,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,50,4396,25,2345,25,2051
23.197.193.16,Support,None,None,None,None,"AKAMAI-AS, US",US,None,None,None,None,10,905,5,469,5,436
23.197.193.32,Support,None,None,None,None,"AKAMAI-AS, US",US,None,None,None,None,30,2672,15,1407,15,1265
23.197.193.67,Support,None,None,None,None,"AKAMAI-AS, US",US,None,None,None,None,40,3534,20,1876,20,1658
23.205.105.63,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.213.158.74,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.213.158.89,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,862,5,469,5,393
23.218.216.25,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,862,5,469,5,393
23.218.217.159,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,40,3577,20,1876,20,1701
23.218.217.188,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,30,2672,15,1407,15,1265
23.218.218.137,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1810,10,938,10,872
23.218.218.146,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1767,10,938,10,829
23.218.218.148,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,440,39433,220,20636,220,18797
23.218.218.158,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,370,33356,185,17353,185,16003
23.218.218.172,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.218.218.175,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,30,2715,15,1407,15,1308
23.218.218.177,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,50,4525,25,2345,25,2180
23.218.218.179,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,50,4525,25,2345,25,2180
23.218.218.182,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.218.218.188,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,40,3577,20,1876,20,1701
23.218.218.190,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,50,4525,25,2345,25,2180
23.219.154.68,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,9,851,4,415,5,436
23.219.154.73,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.222.12.40,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,30,2715,15,1407,15,1308
23.222.12.42,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1810,10,938,10,872
23.222.12.56,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.45.233.27,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,905,5,469,5,436
23.46.150.40,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1810,10,938,10,872
23.46.150.43,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1767,10,938,10,829
2600:1400:9000::687e:7540,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:1408:17::172d:e911,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,49,5413,25,2845,24,2568
2600:1408:17::172d:e929,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,100,11017,50,5690,50,5327
2600:1408:2000::17de:c21,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:1408:5400:1a::173e:e66d,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1314,4,576,6,738
2600:1408:5400:1a::173e:e672,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,39,6162,18,2970,21,3192
2600:1408:5400:1c::173d:b2d,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,30,3318,15,1707,15,1611
2600:1408:5400:1c::173d:b31,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,30,3318,15,1707,15,1611
2600:1408:5400:1c::173d:b40,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,160,17653,80,9104,80,8549
2600:1408:5400:1c::173d:b42,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,280,30839,140,15932,140,14907
2600:1408:5400:1c::173d:b4a,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,29,3244,14,1633,15,1611
2600:1408:5400:1c::173d:b4c,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,2212,10,1138,10,1074
2600:1408:5400:1c::173d:b4d,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1063,5,569,5,494
2600:1408:5400:1c::173d:b51,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:1408:5400:1c::173d:b53,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:1408:c400:26::17da:d91f,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:1408:c400:29::17da:da52,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:1408:c400:2b::17de:4d6,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,49,5370,25,2845,24,2525
2600:1408:c400:2b::17de:4d8,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,50,5530,25,2845,25,2685
2600:141b:b000::1737:eb92,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2600:141b:b000::1737:eba0,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,10,1106,5,569,5,537
2603:1030:408:3::86,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,86,21406,38,14656,48,6750
2603:1030:408:7::3d,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,114,91630,54,15745,60,75885
2603:1030:7::10,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,35,16226,15,11158,20,5068
2603:1030:7::106,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,145,110518,70,20827,75,89691
2603:1030:7::107,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,22,5358,9,3596,13,1762
2603:1030:800:5::bfee:a08d,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,277,500062,159,290768,118,209294
2603:1030:c02:2::284,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,173,172957,82,51679,91,121278
2603:1030:c02:2::2e9,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,46,10903,21,7456,25,3447
2603:1030:c02:2::42d,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,37,16374,17,11306,20,5068
2603:1036:206:15::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,31,13276,20,8707,11,4569
2603:1036:302:4000::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,37,12922,22,8380,15,4542
2603:1036:302:4014::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,80,45363,48,27136,32,18227
2603:1036:302:4028::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,170,84398,103,53630,67,30768
2603:1036:302:403c::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,30,12915,20,8420,10,4495
2603:1036:302:4094::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,281,133587,196,72210,85,61377
2603:1036:302:40b4::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,371,202722,237,116194,134,86528
2603:1036:302:40d0::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,29,13254,19,8759,10,4495
2603:1036:302:40e0::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,31,12989,20,8420,11,4569
2603:1036:302:4154::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,88,38945,58,25448,30,13497
2603:1036:302:4155::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,330,163599,226,89148,104,74451
2603:1036:302:4159::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,30,13200,20,8705,10,4495
2603:1036:302:415a::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,140,74592,83,44324,57,30268
2603:1036:302:415b::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,30,13151,20,8644,10,4507
2603:1036:302:415c::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,214,148767,125,82993,89,65774
2603:1036:302:415d::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,144,72229,88,46042,56,26187
2603:1036:302:415e::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,30,12915,20,8420,10,4495
2603:1036:302:481e::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,35,13075,21,8602,14,4473
2603:1036:302:4830::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,52,22417,33,13762,19,8655
2603:1036:302:4831::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,72,26018,43,17005,29,9013
2603:1036:302:4832::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,38,12993,23,8452,15,4541
2603:1036:302:4833::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,114,39565,69,25941,45,13624
2603:1036:302:4834::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,113,41038,64,24301,49,16737
2603:1036:302:4836::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,75,26221,46,17208,29,9013
2603:1036:302:4840::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,69,25512,41,16576,28,8936
2603:1036:302:4843::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,144,61291,79,36584,65,24707
2603:1036:302:4845::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,29,13116,19,8621,10,4495
2603:1036:302:4847::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,155,86936,89,54043,66,32893
2603:1036:302:5059::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,85,42008,51,26397,34,15611
2603:1036:302:505a::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,28,13096,18,8601,10,4495
2603:1036:302:505b::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,32,13338,21,8769,11,4569
2603:1036:302:505c::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,30,13190,20,8695,10,4495
