Device,ProtocolType,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,PacketsPctFirst,BytesPctFirst,TxPacketsPctFirst,TxBytesPctFirst,RxPacketsPctFirst,RxBytesPctFirst,PacketsPctSupport,BytesPctSupport,TxPacketsPctSupport,TxBytesPctSupport,RxPacketsPctSupport,RxBytesPctSupport,PacketsPctThird,BytesPctThird,TxPacketsPctThird,TxBytesPctThird,RxPacketsPctThird,RxBytesPctThird,PacketsPctLocal,BytesPctLocal,TxPacketsPctLocal,TxBytesPctLocal,RxPacketsPctLocal,RxBytesPctLocal
DreamGlass Air (US1),Management,19,2090,10,1100,9,990,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DreamGlass Air (US1),Unencrypted,15524,1480037,9803,909901,5721,570136,0,0,0,0,0,0,0.998582839,0.995530517,0.998571866,0.993434451,0.998601643,0.998875707,0,0,0,0,0,0,0.001417161,0.004469483,0.001428134,0.006565549,0.001398357,0.001124293
Amazon Light (US1),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Light (US1),Encrypted,25296,4737168,15193,1860605,10103,2876563,0.559890892,0.754977235,0.531428948,0.553986472,0.60269227,0.884981139,0.440109108,0.245022765,0.468571052,0.446013528,0.39730773,0.115018861,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Light (US1),Management,8833,794970,4417,397530,4416,397440,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Light (US1),Unencrypted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Plug (FR),Discovery,64050,22796747,40862,21494314,23188,1302433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
TP-Link Plug (FR),Encrypted,9080,1042750,5890,619365,3190,423385,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Plug (FR),Management,648,58320,324,29160,324,29160,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Plug (FR),Unencrypted,27525,12557513,19319,12196449,8206,361064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
TP-Link Light (FR),Discovery,56570,33288991,39444,32371172,17126,917819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
TP-Link Light (FR),Encrypted,39428,3751271,26231,2263325,13197,1487946,0.638556356,0.638800289,0.63973924,0.638953752,0.636205198,0.638566857,0.361443644,0.361199711,0.36026076,0.361046248,0.363794802,0.361433143,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Light (FR),Management,659,59310,332,29880,327,29430,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Light (FR),Unencrypted,26516,20262764,18740,19920620,7776,342144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Sony TV (FR),Discovery,125480,37389624,123047,37189806,2433,199818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Sony TV (FR),Encrypted,310220,134671679,164984,40640584,145236,94031095,0.006360003,0.004588886,0.006340009,0.004666764,0.006382715,0.004555227,0.909080652,0.835150648,0.905421132,0.8669761,0.913237765,0.821395571,0.084559345,0.160260466,0.08823886,0.128357137,0.08037952,0.174049201,0,0,0,0,0,0
Sony TV (FR),Management,10,900,5,450,5,450,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sony TV (FR),Unencrypted,47863,12670052,31759,9023048,16104,3647004,0.001608758,0.001449244,0.001353947,0.000506037,0.002111277,0.003782831,0.768965589,0.649303491,0.737743632,0.567831513,0.830538997,0.85087321,0.015251865,0.049406822,0.01473598,0.03277551,0.01626925,0.090554329,0.214173788,0.299840443,0.246166441,0.398886939,0.151080477,0.05478963
Nest Thermostat (FR),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nest Thermostat (FR),Encrypted,135791,55177539,73351,37418763,62440,17758776,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nest Thermostat (FR),Management,243,21870,127,11430,116,10440,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nest Thermostat (FR),Unencrypted,273,23546,153,12666,120,10880,0.388278388,0.392338401,0.366013072,0.367282489,0.416666667,0.421507353,0.611721612,0.607661599,0.633986928,0.632717511,0.583333333,0.578492647,0,0,0,0,0,0,0,0,0,0,0,0
Nest Mini (FR),Discovery,199533,53894066,180531,37862381,19002,16031685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Nest Mini (FR),Encrypted,8204840,924949770,4135786,400462412,4069054,524487358,0.085811545,0.329756648,0.089769877,0.24002201,0.081788298,0.398271836,9.50658E-05,0.000297605,0.000104696,0.000155872,8.52778E-05,0.000405823,0.010223478,0.046219284,0.009911538,0.032817317,0.010540533,0.056452102,0.903869911,0.623726462,0.900213889,0.727004801,0.907585891,0.544870239
Nest Mini (FR),Management,1855439,144355992,931479,72848064,923960,71507928,0,0,0,0,0,0,0.000761006,0.000880324,0.000757934,0.000872226,0.000764102,0.000888573,0,0,0,0,0,0,0.999238994,0.999119676,0.999242066,0.999127774,0.999235898,0.999111427
Nest Mini (FR),Unencrypted,2165123,287356770,1104820,111673814,1060303,175682956,0.098649361,0.384894401,0.103641317,0.306701704,0.093447816,0.43459801,0,0,0,0,0,0,0,0,0,0,0,0,0.901350639,0.615105599,0.896358683,0.693298296,0.906552184,0.56540199
Nest Camera (FR),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nest Camera (FR),Encrypted,150909,16017415,75350,9532516,75559,6484899,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nest Camera (FR),Management,511,45990,256,23040,255,22950,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nest Camera (FR),Unencrypted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxcio Power Strip (FR),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxcio Power Strip (FR),Encrypted,68596,6386216,36489,3236225,32107,3149991,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maxcio Power Strip (FR),Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxcio Power Strip (FR),Unencrypted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hue Bridge (FR),Discovery,153292,41358445,117281,38347931,36011,3010514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Hue Bridge (FR),Encrypted,66260,7643475,33438,5278024,32822,2365451,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hue Bridge (FR),Management,1134,102060,602,54180,532,47880,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hue Bridge (FR),Unencrypted,314198,92541925,157034,78305355,157164,14236570,0.1238773,0.054596292,0.124170562,0.049031819,0.123584281,0.085202545,0,0,0,0,0,0,0,0,0,0,0,0,0.8761227,0.945403708,0.875829438,0.950968181,0.876415719,0.914797455
Google Speaker (FR),Discovery,192445,52438271,173388,36352887,19057,16085384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Google Speaker (FR),Encrypted,8007948,789615588,4007387,379371361,4000561,410244227,0.066275405,0.235125959,0.071159336,0.222469223,0.061383141,0.246830213,0,0,0,0,0,0,0.007300247,0.033801092,0.006954906,0.023735331,0.007646178,0.043109355,0.926424347,0.73107295,0.921885757,0.753795445,0.930970681,0.710060432
Google Speaker (FR),Management,1855335,144346632,923908,71503248,931427,72843384,0,0,0,0,0,0,0.000704994,0.000815537,0.000707863,0.000823179,0.000702148,0.000808035,0,0,0,0,0,0,0.999295006,0.999184463,0.999292137,0.999176821,0.999297852,0.999191965
Google Speaker (FR),Unencrypted,2251859,282332539,1143472,116383217,1108387,165949322,0.074778661,0.203177371,0.081076756,0.27615004,0.068281205,0.152000338,0,0,0,0,0,0,0.003246207,0.011279968,0.00322439,0.012154923,0.003268714,0.010666347,0.921975133,0.785542661,0.915698854,0.711695038,0.928450081,0.837333316
Echo Show 5 (FR),Discovery,158364,40391470,93903,15164723,64461,25226747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Echo Show 5 (FR),Encrypted,3080538,485457594,1578619,209229828,1501919,276227766,0.106927102,0.420664774,0.107493955,0.377413153,0.1063313,0.453425888,0.0160657,0.133718742,0.018762602,0.012342423,0.013231073,0.225655722,0.000102579,0.000460722,0.000114657,8.38313E-05,0.000089885,0.000746199,0.876904619,0.445155762,0.873628786,0.610160593,0.880347742,0.320172191
Echo Show 5 (FR),Management,2701386,216108565,1379151,127665956,1322235,88442609,0,0,0,0,0,0,1.77687E-05,0.00001999,0.000017402,1.69192E-05,1.81511E-05,2.44226E-05,0,0,0,0,0,0,0.999982231,0.99998001,0.999982598,0.999983081,0.999981849,0.999975577
Echo Show 5 (FR),Unencrypted,68671,12085512,35199,3062545,33472,9022967,0.285564503,0.160565891,0.278388591,0.331426314,0.29311066,0.102573023,0.001747463,0.00211195,0.002045513,0.002307884,0.001434034,0.002045447,0,0,0,0,0,0,0.712688034,0.837322159,0.719565897,0.666265802,0.705455306,0.89538153
Echo Dot 3 (FR),Discovery,123888,30008369,59646,4836537,64242,25171832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Echo Dot 3 (FR),Encrypted,3033131,352848092,1500998,151932831,1532133,200915261,0.106772836,0.384806825,0.116421208,0.415211042,0.097320533,0.361815049,0.002616768,0.002736285,0.002690876,0.002686668,0.002544166,0.002773806,0,0,0,0,0,0,0.890610396,0.61245689,0.880887916,0.582102291,0.900135302,0.635411145
Echo Dot 3 (FR),Management,2701348,216105145,1322216,88440899,1379132,127664246,0,0,0,0,0,0,3.70186E-06,4.16464E-06,3.78153E-06,5.08814E-06,3.62547E-06,3.52487E-06,0,0,0,0,0,0,0.999996298,0.999995835,0.999996218,0.999994912,0.999996375,0.999996475
Echo Dot 3 (FR),Unencrypted,67549,11556192,36048,3788086,31501,7768106,0.352322018,0.29053645,0.331363737,0.487920549,0.376305514,0.194282879,0,0,0,0,0,0,0,0,0,0,0,0,0.647677982,0.70946355,0.668636263,0.512079451,0.623694486,0.805717121
D-Link Camera (FR),Discovery,601,95777,601,95777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
D-Link Camera (FR),Encrypted,140924,121403075,88278,115499702,52646,5903373,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-Link Camera (FR),Management,214,128673,126,122151,88,6522,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-Link Camera (FR),Unencrypted,224,130675,132,122639,92,8036,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
