IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
66.102.1.138,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,96,38520,46,19133,50,19387
74.125.133.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,47,18672,23,9597,24,9075
74.125.133.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,43,11716,20,2791,23,8925
74.125.206.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,4214,370549,1900,203596,2314,166953
74.125.71.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,47,19190,22,9573,25,9617
8.8.4.4,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4,604,2,446,2,158
8.8.8.8,"None","None","None","None","GOOGLE, US","US",None,None,None,None,22486,2166139,11242,1316593,11244,849546
192.168.231.1,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,206,37194,103,29047,103,8147
192.168.231.112,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,5978,2763926,4246,2687718,1732,76208
192.168.231.200,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,5905,4553886,4214,4479482,1691,74404
192.168.231.223,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,907774,74594092,455938,38192134,451836,36401958
224.0.0.250,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,4272,371658,0,0,4272,371658
224.0.0.251,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,35802,7610131,0,0,35802,7610131
239.255.255.251,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,4275,371913,0,0,4275,371913
255.255.255.255,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,8512,651190,0,0,8512,651190
fdc4:22e1:d5d:0:d5df:30a:d02d:b5dd,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,1,107,1,107,0,0
fe80::a677:33ff:fedf:c24d,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,35780,8570378,35780,8570378,0,0
ff02::c:c,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,2,214,0,0,2,214
ff02::fb,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,35778,8570164,0,0,35778,8570164
ff05::c0c,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,1,107,0,0,1,107
