IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
209.54.177.154,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,54,16422,22,12178,32,4244
209.54.177.157,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,213,65526,87,48658,126,16868
209.54.178.134,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,157,48996,64,36426,93,12570
209.54.178.164,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,187,57369,77,42623,110,14746
209.54.178.166,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,159,49104,66,36534,93,12570
209.54.179.224,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,24,11061,8,8915,16,2146
209.54.179.225,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,46,16369,17,13127,29,3242
209.54.179.226,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,71,30321,24,24381,47,5940
209.54.179.227,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,69,29388,24,23679,45,5709
209.54.179.230,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,24,11090,8,8944,16,2146
209.54.179.231,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,22,10953,7,8861,15,2092
209.54.179.232,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,50,19451,19,15657,31,3794
209.54.179.88,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,107,32790,44,24356,63,8434
209.54.179.93,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,53,16368,22,12178,31,4190
209.54.180.2,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,25,11144,9,8998,16,2146
209.54.180.25,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,288,89835,119,66871,169,22964
209.54.180.27,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,189,57477,77,42623,112,14854
209.54.180.44,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,27,8211,11,6089,16,2122
209.54.181.4,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,106,32736,44,24356,62,8380
209.54.181.98,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,54,16422,22,12178,32,4244
209.54.183.178,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,22,8116,8,6522,14,1594
209.54.183.179,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,45,16315,16,13073,29,3242
209.54.183.185,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,24,8253,9,6605,15,1648
209.54.183.194,"None","None","None","None","AMAZON-02, US","US",msh.amazon.com,msh.amazon.com,None,None,22,8116,8,6522,14,1594
