Device,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,PacketsPctFirst,BytesPctFirst,TxPacketsPctFirst,TxBytesPctFirst,RxPacketsPctFirst,RxBytesPctFirst,PacketsPctSupport,BytesPctSupport,TxPacketsPctSupport,TxBytesPctSupport,RxPacketsPctSupport,RxBytesPctSupport,PacketsPctThird,BytesPctThird,TxPacketsPctThird,TxBytesPctThird,RxPacketsPctThird,RxBytesPctThird,PacketsPctLocal,BytesPctLocal,TxPacketsPctLocal,TxBytesPctLocal,RxPacketsPctLocal,RxBytesPctLocal
D-Link Camera (FR),16786,3902188,6213,1964671,10573,1937517,0.9751578696532825,0.9840415172205952,1.0,1.0,0.9605599167691289,0.9678593787822248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024842130346717502,0.015958482779404787,0.0,0.0,0.03944008323087109,0.03214062121777512
Hue Bridge (FR),320659,85080716,120230,10430377,200429,74650339,0.20663695701664386,0.08983792520034739,0.2729934292605839,0.2267848036557068,0.16683214504887017,0.07070328240572357,0.003536467088090464,0.0011995667737445934,0.004424852366297929,0.0045904381020935294,0.0030035573694425456,0.000725783710104786,0.0,0.0,0.0,0.0,0.0,0.0,0.7898265758952657,0.9089625080259081,0.7225817183731182,0.7686247582421997,0.8301642975816873,0.9285709338841717
Echo Dot 5 (US1),384222,138578204,184988,51531775,199234,87046429,0.9107286933075149,0.9600150684591063,0.9097292797370641,0.9269823715561903,0.9116566449501591,0.9795705347085519,0.06275278354701189,0.026483767966858626,0.06451229268925551,0.04673768757237646,0.06111908609976209,0.014493380308570728,0.0,0.0,0.0,0.0,0.0,0.0,0.02651852314547319,0.013501163574035063,0.025758427573680454,0.02627994087143321,0.027224268950078803,0.005936084982877356
Govee Kettle (US1),35789,3580091,12177,1487613,23612,2092478,0.031182765654251307,0.036684263053648636,0.04344255563767759,0.045368654347602504,0.02486024055564967,0.03051023714466771,0.9688172343457487,0.9633157369463513,0.9565574443623224,0.9546313456523975,0.9751397594443504,0.9694897628553323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Litokam Camera (US1),114421,11291468,51493,5732157,62928,5559311,0.0,0.0,0.0,0.0,0.0,0.0,0.9998863844923572,0.9997591101529049,0.9998446390771561,0.9998025176212026,0.999920544113908,0.9997143530915972,0.0,0.0,0.0,0.0,0.0,0.0,0.0001136155076428278,0.00024088984709516955,0.0001553609228438817,0.00019748237879737069,7.94558860920417e-05,0.00028564690840285784
Netvue Camera (US1),59897,9761991,22161,4941333,37736,4820658,0.11541479539876788,0.22344642604157286,0.13216912594197014,0.3517382860050112,0.10557557769768922,0.09194305009814013,0.8829991485383242,0.7742074337089637,0.865123415008348,0.6443141961895708,0.8934969260122959,0.9073522743160788,0.0,0.0,0.0,0.0,0.0,0.0,0.0015860560629079922,0.0023461402494634547,0.0027074590496818734,0.003947517805418093,0.0009274962900148399,0.0007046755857810283
Hue Bridge (US1),259595,65833726,69927,17949897,189668,47883829,0.5059111307998998,0.35292125194311497,0.9397943569722711,0.9796763179198187,0.34594660142986694,0.11797369003218185,0.012284520117875923,0.004415517967189036,0.02187996053026728,0.007874641286242478,0.008746862939452095,0.0031188190902611402,0.0,0.0,0.0,0.0,0.0,0.0,0.48180434908222425,0.642663230089696,0.03832568249746164,0.012449040793938817,0.645306535630681,0.878907490877557
TP-Link Plug (US1),9816,1179366,3348,453468,6468,725898,0.41554604726976363,0.41586750847489246,0.4136798088410992,0.4841091322871735,0.4165120593692022,0.3732370112605352,0.5684596577017115,0.4981354388713936,0.5863201911589009,0.5158908677128264,0.5592145949288806,0.4870436342296025,0.0,0.0,0.0,0.0,0.0,0.0,0.015994295028524858,0.08599705265371395,0.0,0.0,0.02427334570191713,0.13971935450986225
Amazon Light (US1),18354,2972492,7774,1770490,10580,1202002,0.5065925683774654,0.7071881101782612,0.5055312580396193,0.8090489073646279,0.5073724007561436,0.5571521511611461,0.4934074316225346,0.2928118898217388,0.49446874196038076,0.19095109263537213,0.49262759924385635,0.44284784883885386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nest Mini (US1),452235,108458398,179057,56803138,273178,51655260,0.8340199232699813,0.8847393172818208,0.9797327108127579,0.9944180548616874,0.7385111538996552,0.76413017764309,4.201355489955443e-05,1.5102564948451478e-05,4.4678510195077546e-05,1.267535606923688e-05,4.026678575873606e-05,1.7771665460593944e-05,0.015792674162769357,0.007072776420688051,0.020222610677046973,0.005569269782243368,0.012889032059682698,0.008726120050504053,0.15014538901234978,0.10817280373254269,0.0,0.0,0.2485595472549034,0.22712593064094538
Metaquest Pro (US1),996877,657196219,476176,466167516,520701,191028703,0.9985053321523116,0.999604670580127,0.9984123517354928,0.9996217025126221,0.9985903618391361,0.9995631075399177,0.0014946678476883306,0.0003953294198730014,0.001587648264507241,0.00037829748737790647,0.0014096381608639122,0.00043689246008229456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DreamGlass Air (US1),119663,52335577,5789,608565,113874,51727012,0.0,0.0,0.0,0.0,0.0,0.0,0.12970592413695128,0.02819328809540019,0.9884263257902919,0.9374265690600018,0.08605124962678047,0.017496216483565686,0.0013036611149645253,0.0009969699961462162,0.010191742960787701,0.061520133428639504,0.0008518186767831112,0.0002849188350566238,0.8689904147480843,0.9708097419084536,0.0013819312489203662,0.0010532975113586882,0.9130969316964365,0.9822188646813776
HoloLens 2 (US2),64754,23687692,25010,15877922,39744,7809770,0.6556815023010162,0.6419045384413138,0.7738504598160736,0.6093347731523054,0.5813204508856683,0.7081216220195985,0.15077060876548168,0.2774342472875787,0.22614954018392644,0.39066522684769456,0.10333635265700483,0.04722610268932376,0.0,0.0,0.0,0.0,0.0,0.0,0.19354788893350217,0.08066121427110755,0.0,0.0,0.3153431964573269,0.24465227529107772
MagicLeap (US2),3590,1357836,1635,626717,1955,731119,0.8208913649025069,0.9578645727466351,0.8385321100917431,0.9585219485030724,0.8061381074168797,0.9573010686358855,0.17910863509749303,0.042135427253364915,0.1614678899082569,0.04147805149692764,0.1938618925831202,0.04269893136411446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metaquest 1 (US2),7124869,10106840484,3302839,8947899521,3822030,1158940963,0.9996971172382257,0.9999639205743301,0.9996766418223837,0.9999744101954361,0.9997148112390536,0.9998829327771375,0.00020126685838013303,1.5595378224235957e-05,0.00021708596755700172,8.807653663861476e-06,0.00018759664366841704,6.800173823867161e-05,0.00010161590339415363,2.0484047445662642e-05,0.00010627221005928536,1.678215090006038e-05,9.759211727799101e-05,4.906548462382721e-05,0.0,0.0,0.0,0.0,0.0,0.0
Metaquest 2 (US2),211286,121438984,106692,33560173,104594,87878811,0.9958350292967826,0.9987985159691388,0.9959228433247104,0.9972192932378507,0.9957454538501253,0.999401607743646,0.0031663243186959857,0.0005997744513409302,0.0031305065047051326,0.0010721041277111415,0.003202860584737174,0.00041939575172449703,0.0009986463845214543,0.0006017095795201975,0.0009466501705844862,0.0017086026344381479,0.0010516855651375796,0.00017899650462954034,0.0,0.0,0.0,0.0,0.0,0.0
Roborock S7 (US2),188140,22409853,22462,2778823,165678,19631030,0.3404964388221537,0.31478131516525343,0.9788531742498442,0.8735111952074673,0.25395043397433575,0.23569165754420426,0.0,0.0,0.0,0.0,0.0,0.0,0.006776868289571596,0.022149453635416528,0.02114682575015582,0.12648880479253266,0.00482864351332102,0.00737994898892213,0.6527266928882747,0.66306923119933,0.0,0.0,0.7412209225123432,0.7569283934668736
