SourceDevice,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,TargetDevice,PacketsToTargetPct,BytesToTargetPct,TxPacketsToTargetPct,TxBytesToTargetPct,RxPacketsToTargetPct,RxBytesToTargetPct
TP-Link Light (FR),56570,33288991,39444,32371172,17126,917819,Local (Echo Dot 3),0.265264274,0.195633776,0.262017037,0.192295972,0.272743197,0.313356991
Sony TV (FR),125480,37389624,123047,37189806,2433,199818,Local Broadcast,0.124705132,0.151989547,0.127170918,0.152806175,0,0
Sony TV (FR),125480,37389624,123047,37189806,2433,199818,Local Multicast,0.793600574,0.746404885,0.809292384,0.750415262,0,0
Sony TV (FR),125480,37389624,123047,37189806,2433,199818,Local (Echo Show 5),0.041098183,0.05114443,0.032028412,0.048733812,0.499794492,0.499804822
Sony TV (FR),125480,37389624,123047,37189806,2433,199818,Local (Echo Dot 3),0.040596111,0.050461139,0.031508285,0.048044752,0.500205508,0.500195178
Nest Mini (FR),2082799,205765359,1131061,112361576,951738,93403783,Local Broadcast,0.010976095,0.008671751,0.020211996,0.015880393,0,0
Nest Mini (FR),2082799,205765359,1131061,112361576,951738,93403783,Local Multicast,0.075447991,0.176709472,0.138934151,0.32360429,0,0
Nest Mini (FR),2082799,205765359,1131061,112361576,951738,93403783,Local (TP-Link Plug),0.006495586,0.03044857,0.003425987,0.001517423,0.010143548,0.065251758
Nest Mini (FR),2082799,205765359,1131061,112361576,951738,93403783,Local (TP-Link Bulb),0.006235359,0.04907065,0.003217333,0.001425007,0.009822031,0.10638674
Nest Mini (FR),2082799,205765359,1131061,112361576,951738,93403783,Local (Hue Bridge),0.0106837,0.034160813,0.011290284,0.009802301,0.009962826,0.063463275
Nest Mini (FR),2082799,205765359,1131061,112361576,951738,93403783,Local (Google Speaker),0.890161269,0.700938743,0.822920249,0.647770587,0.970071595,0.764898227
Hue Bridge (FR),253265,77335181,166389,69318135,86876,8017046,Local Broadcast,0.154036286,0.178072073,0.234462615,0.198667145,0,0
Hue Bridge (FR),253265,77335181,166389,69318135,86876,8017046,Local Multicast,0.153791483,0.155830785,0.234089994,0.173853523,0,0
Hue Bridge (FR),253265,77335181,166389,69318135,86876,8017046,Local (Nest Mini),0.087860541,0.090891518,0.05698694,0.085514563,0.146991114,0.137382522
Hue Bridge (FR),253265,77335181,166389,69318135,86876,8017046,Local (Google Speaker),0.306876197,0.374313781,0.238152763,0.36126901,0.43849855,0.487103355
Hue Bridge (FR),253265,77335181,166389,69318135,86876,8017046,Local (Echo Show 5),0.148820406,0.100509405,0.118228969,0.090403428,0.207410562,0.187889155
Hue Bridge (FR),253265,77335181,166389,69318135,86876,8017046,Local (Echo Dot 3),0.148615087,0.100382438,0.118078719,0.090292331,0.207099774,0.187624968
Google Speaker (FR),2146463,227672714,1155694,113600215,990769,114072499,Local Broadcast,0.013676453,0.010316458,0.025401188,0.020675806,0,0
Google Speaker (FR),2146463,227672714,1155694,113600215,990769,114072499,Local Multicast,0.072297543,0.155216127,0.134277759,0.311077554,0,0
Google Speaker (FR),2146463,227672714,1155694,113600215,990769,114072499,Local (TP-Link Plug),0.006520494,0.027637269,0.003747532,0.001677497,0.009755049,0.053489562
Google Speaker (FR),2146463,227672714,1155694,113600215,990769,114072499,Local (TP-Link Bulb),0.006302927,0.044650603,0.003579667,0.001602356,0.009479505,0.087520621
Google Speaker (FR),2146463,227672714,1155694,113600215,990769,114072499,Local (Nest Mini),0.864993713,0.635033766,0.800030977,0.630590708,0.94077025,0.639458429
Google Speaker (FR),2146463,227672714,1155694,113600215,990769,114072499,Local (Hue Bridge),0.03620887,0.127145776,0.032962878,0.034376079,0.039995196,0.219531388
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local Broadcast,0.005216164,0.014877976,0.010175008,0.026716179,0,0
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local Multicast,0.004533082,0.005529015,0.008842542,0.009928378,0,0
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local (TP-Link Plug),0.006543824,0.021163999,0.005249194,0.00351364,0.007905633,0.043346555
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local (TP-Link Bulb),0.00536483,0.026874325,0.003253972,0.002134191,0.007585223,0.057967144
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local (Sony TV),0.001838545,0.007889586,0.000845657,0.000739895,0.002882955,0.016875148
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local (Hue Bridge),0.013437388,0.032069232,0.012531164,0.01115967,0.014390636,0.058347878
Echo Show 5 (FR),2804935,242379146,1437935,134978547,1367000,107400599,Local (Echo Dot 3),0.963066167,0.891595868,0.959102463,0.945808048,0.967235552,0.823463275
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local Broadcast,0.002456101,0.002255343,0.00502275,0.005865493,0,0
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local Multicast,0.000729688,0.000980006,0.001492219,0.002548712,0,0
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local (TP-Link Plug),0.006521607,0.021455371,0.005456543,0.00510106,0.007540798,0.031672278
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local (TP-Link Bulb),0.005385979,0.027346404,0.003428506,0.003140828,0.007259142,0.042468173
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local (Sony TV),0.001828347,0.00792253,0.000893276,0.001091495,0.002723144,0.012190032
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local (Hue Bridge),0.013509454,0.032597973,0.013206097,0.016426793,0.013799745,0.042700474
Echo Dot 3 (FR),2786123,238146522,1362401,91569790,1423722,146576732,Local (Echo Show 5),0.969568824,0.907442373,0.970500609,0.965825618,0.968677172,0.870969043
D-Link Camera (FR),601,95777,601,95777,0,0,Local Multicast,1,1,1,1,0,0
