IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
54.88.199.193,First,None,None,None,None,"AMAZON-AES, US",US,20c21bbc399f9ef2c91f0365d42531bf5023b70d32dbaf7f53f0b49d5110f72.us-east-1.prod.service.minerva.devices.a2z.com,20c21bbc399f9ef2c91f0365d42531bf5023b70d32dbaf7f53f0b49d5110f72.us-east-1.prod.service.minerva.devices.a2z.com,None,None,114,81773,50,12475,64,69298
54.91.3.155,First,None,None,None,None,"AMAZON-AES, US",US,20c21bbc399f9ef2c91f0365d42531bf5023b70d32dbaf7f53f0b49d5110f72.us-east-1.prod.service.minerva.devices.a2z.com,20c21bbc399f9ef2c91f0365d42531bf5023b70d32dbaf7f53f0b49d5110f72.us-east-1.prod.service.minerva.devices.a2z.com,None,None,124,87382,48,12331,76,75051
72.44.62.198,First,None,None,None,None,"AMAZON-AES, US",US,20c21bbc399f9ef2c91f0365d42531bf5023b70d32dbaf7f53f0b49d5110f72.us-east-1.prod.service.minerva.devices.a2z.com,20c21bbc399f9ef2c91f0365d42531bf5023b70d32dbaf7f53f0b49d5110f72.us-east-1.prod.service.minerva.devices.a2z.com,None,None,357,298802,138,28962,219,269840
18.203.57.224,First,None,None,None,None,"AMAZON-02, US",US,alexa.eu.gateway.devices.a2z.com,alexa.eu.gateway.devices.a2z.com,None,None,20333,14911590,10925,10656421,9408,4255169
52.16.104.93,First,None,None,None,None,"AMAZON-02, US",US,alexa.eu.gateway.devices.a2z.com,alexa.eu.gateway.devices.a2z.com,None,None,23532,17655837,12356,12740787,11176,4915050
52.214.227.89,First,None,None,None,None,"AMAZON-02, US",US,alexa.eu.gateway.devices.a2z.com,alexa.eu.gateway.devices.a2z.com,None,None,36181,26872181,19296,19154569,16885,7717612
209.54.177.114,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,17,7809,7,5805,10,2004
209.54.177.117,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,18,7863,8,5859,10,2004
209.54.177.153,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,34,15618,14,11610,20,4008
209.54.177.154,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,17,7809,7,5805,10,2004
209.54.177.157,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,18,7863,8,5859,10,2004
