IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
82.64.131.93,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
82.64.203.110,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
82.64.230.205,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
82.64.247.11,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
82.64.42.185,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
82.64.45.50,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
82.64.81.218,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
91.224.149.41,Time,None,None,None,None,"TETANEUTRAL-NET-AS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
94.23.21.189,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
94.231.206.1,Time,None,None,None,None,"INFOGAIR, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
95.179.212.126,Time,None,None,None,None,"AS-VULTR, US",US,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
95.81.173.155,Time,None,None,None,None,"TDF, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
95.81.173.74,Time,None,None,None,None,"TDF, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
192.168.231.110,Local (Echo Dot 3),Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,11485,4216177,3546,222807,7939,3993370
192.168.231.171,Local (Echo Show 5),Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,11386,4194095,3498,219791,7888,3974304
192.168.231.192,Local (Google Speaker),Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,8018,3528326,2599,114356,5419,3413970
192.168.231.223,Local (Nest Mini),Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,7919,3516938,2512,110528,5407,3406410
