File, Layer,Classification,Notes, Proto, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes,LanPackets,LanBytes,LanTxPackets,LanTxBytes,LanRxPackets,LanRxBytes,WanPackets,WanBytes,WanTxPackets,WanTxBytes,WanRxPackets,WanRxBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,tplink-smarthome,1722,665704,834,69582,888,596122,1722,665704,834,69582,888,596122,0,0,0,0,0,0,"Requests information from tp link devices via broadcast and TCP, recv over UDP/TCP",,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,mdns,836,94256,836,94256,0,0,836,94256,836,94256,0,0,0,0,0,0,0,0,Responds with type and name,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,ssdp,210,29295,210,29295,0,0,210,29295,210,29295,0,0,0,0,0,0,0,0,UPnP,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,ntp,4,360,2,180,2,180,0,0,0,0,0,0,4,360,2,180,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,55444,1012860,54694432,506431,25321550,506429,29372882,1012860,54694432,506431,25321550,506429,29372882,0,0,0,0,0,0,"Echo dot communication, most likely time sync, https://media.defcon.org/DEF%20CON%2026/DEF%20CON%2026%20presentations/DEFCON-26-Wu-HuiYu-and-Qian-Wenxiang-Breaking-Smart-Speakers-Updated.pdf",,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,50000,1450,524540,210,29295,1240,495245,1450,524540,210,29295,1240,495245,0,0,0,0,0,0,Recv UPnP,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,1982,105,14385,105,14385,0,0,105,14385,105,14385,0,0,0,0,0,0,0,0,Query SSDP (wifi bulb),,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,56700,105,8190,105,8190,0,0,105,8190,105,8190,0,0,0,0,0,0,0,0,"Broadcast, probably lifx, https://lan.developer.lifx.com/docs/querying-the-device-for-data#getservice---packet-2",,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,55443,143143,38222661,59082,12689823,84061,25532838,143143,38222661,59082,12689823,84061,25532838,143143,38222661,0,0,0,0,"Encrypted comms between echo dot, cert says alexa",,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,https,172691,65243615,93862,27225991,78829,38017624,0,0,0,0,0,0,172691,65243615,93862,27225991,78829,38017624,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Total,,,Total,1350646,174581329,700553,91118270,650093,83463059,1183737,97301625,609122,57513197,574615,39788428,166909,77279704,91431,33605073,75478,43674631,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 3,,,ip,1350453,174562294,700360,91099235,650093,83463059,1183544,97282590,608929,57494162,574615,39788428,166909,77279704,91431,33605073,75478,43674631,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 3,,,ipv6,193,19035,193,19035,0,0,193,19035,193,19035,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
