Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
SonyTV (FR) ,160200,796,198744,556,145848,240,52896,311,86718,311,86718,0,0,485,112026,245,59130,240,52896
SonyTV (FR) ,162000,1075,716416,727,169946,348,546470,372,110821,357,109589,15,1232,703,605595,370,60357,333,545238
SonyTV (FR) ,163800,1014,260182,769,208599,245,51583,550,152287,535,151055,15,1232,464,107895,234,57544,230,50351
SonyTV (FR) ,165600,743,229113,466,137230,277,91883,166,49708,166,49708,0,0,577,179405,300,87522,277,91883
SonyTV (FR) ,167400,785,205972,559,155821,226,50151,327,91808,327,91808,0,0,458,114164,232,64013,226,50151
SonyTV (FR) ,169200,1466,683243,926,230539,540,452704,387,110867,372,109635,15,1232,1079,572376,554,120904,525,451472
SonyTV (FR) ,171000,1241,335439,901,240379,340,95060,537,143704,537,143704,0,0,704,191735,364,96675,340,95060
SonyTV (FR) ,172800,1178,442676,792,203494,386,239182,415,115743,400,114511,15,1232,763,326933,392,88983,371,237950
SonyTV (FR) ,174600,962,269624,622,160964,340,108660,265,74142,265,74142,0,0,697,195482,357,86822,340,108660
SonyTV (FR) ,176400,2054,2445902,1229,353825,825,2092077,388,106609,373,105377,15,1232,1666,2339293,856,248448,810,2090845
SonyTV (FR) ,178200,1045,276267,801,218035,244,58232,546,146056,546,146056,0,0,499,130211,255,71979,244,58232
SonyTV (FR) ,180000,1019,277965,787,208414,232,69551,557,146583,542,145351,15,1232,462,131382,245,63063,217,68319
SonyTV (FR) ,181800,1365,347905,1110,294221,255,53684,856,206528,856,206528,0,0,509,141377,254,87693,255,53684
SonyTV (FR) ,183600,1097,715630,734,165776,363,549854,331,97287,316,96055,15,1232,766,618343,418,69721,348,548622
SonyTV (FR) ,185400,888,221008,656,168536,232,52472,408,110332,408,110332,0,0,480,110676,248,58204,232,52472
SonyTV (FR) ,187200,778,198616,554,151982,224,46634,351,102307,336,101075,15,1232,427,96309,218,50907,209,45402
SonyTV (FR) ,189000,891,229383,669,179213,222,50170,429,115174,429,115174,0,0,462,114209,240,64039,222,50170
SonyTV (FR) ,190800,879,232658,632,165416,247,67242,384,108215,369,106983,15,1232,495,124443,263,58433,232,66010
SonyTV (FR) ,192600,862,214474,631,159056,231,55418,385,101884,385,101884,0,0,477,112590,246,57172,231,55418
SonyTV (FR) ,194400,995,273988,712,195862,283,78126,424,116849,409,115617,15,1232,571,157139,303,80245,268,76894
SonyTV (FR) ,196200,716,207452,463,120624,253,86828,186,52544,186,52544,0,0,530,154908,277,68080,253,86828
SonyTV (FR) ,198000,1210,323680,869,214412,341,109268,508,128482,508,128482,0,0,702,195198,361,85930,341,109268
SonyTV (FR) ,199800,1209,319909,925,250048,284,69861,653,167769,638,166537,15,1232,556,152140,287,83511,269,68629
SonyTV (FR) ,201600,1241,305601,969,239895,272,65706,715,182133,700,180901,15,1232,526,123468,269,58994,257,64474
SonyTV (FR) ,203400,768,191714,557,146526,211,45188,340,93510,340,93510,0,0,428,98204,217,53016,211,45188
SonyTV (FR) ,205200,1168,720524,816,164649,352,555875,311,79900,311,79900,0,0,857,640624,505,84749,352,555875
SonyTV (FR) ,207000,2215,2394530,1445,398109,770,1996421,601,160465,586,159233,15,1232,1614,2234065,859,238876,755,1995189
SonyTV (FR) ,208800,750,194831,527,155608,223,39223,332,96597,317,95365,15,1232,418,98234,210,60243,208,37991
SonyTV (FR) ,210600,1039,287360,785,208066,254,79294,509,136492,509,136492,0,0,530,150868,276,71574,254,79294
SonyTV (FR) ,212400,977,247670,732,182738,245,64932,472,123332,472,123332,0,0,505,124338,260,59406,245,64932
SonyTV (FR) ,214200,1063,323335,706,183090,357,140245,353,99815,338,98583,15,1232,710,223520,368,84507,342,139013
SonyTV (FR) ,216000,887,225214,640,173981,247,51233,415,116511,400,115279,15,1232,472,108703,240,58702,232,50001
SonyTV (FR) ,217800,1168,427826,819,203389,349,224437,468,119040,468,119040,0,0,700,308786,351,84349,349,224437
SonyTV (FR) ,219600,969,243417,763,190881,206,52536,533,132402,533,132402,0,0,436,111015,230,58479,206,52536
SonyTV (FR) ,221400,1366,330727,1155,290989,211,39738,961,244769,946,243537,15,1232,405,85958,209,47452,196,38506
SonyTV (FR) ,223200,863,213733,632,165596,231,48137,428,116447,413,115215,15,1232,435,97286,219,50381,216,46905
SonyTV (FR) ,225000,1017,299661,705,209628,312,90033,376,104124,376,104124,0,0,641,195537,329,105504,312,90033
SonyTV (FR) ,226800,700,176454,482,121886,218,54568,246,67866,246,67866,0,0,454,108588,236,54020,218,54568
SonyTV (FR) ,228600,1189,760910,795,203471,394,557439,383,111465,368,110233,15,1232,806,649445,427,93238,379,556207
SonyTV (FR) ,230400,890,221604,672,175192,218,46412,468,125515,453,124283,15,1232,422,96089,219,50909,203,45180
SonyTV (FR) ,232200,855,218427,579,151264,276,67163,288,80800,288,80800,0,0,567,137627,291,70464,276,67163
SonyTV (FR) ,234000,757,193927,547,140906,210,53021,319,88772,319,88772,0,0,438,105155,228,52134,210,53021
SonyTV (FR) ,235800,946,235588,711,186852,235,48736,504,136715,489,135483,15,1232,442,98873,222,51369,220,47504
SonyTV (FR) ,237600,2184,1093954,1353,481917,831,612037,429,117403,414,116171,15,1232,1755,976551,939,365746,816,610805
SonyTV (FR) ,239400,843,243823,567,159120,276,84703,267,72388,267,72388,0,0,576,171435,300,86732,276,84703
SonyTV (FR) ,241200,891,227738,628,150096,263,77642,351,89386,351,89386,0,0,540,138352,277,60710,263,77642
SonyTV (FR) ,243000,1068,330703,785,210122,283,120581,500,136035,485,134803,15,1232,568,194668,300,75319,268,119349
SonyTV (FR) ,244800,893,221971,685,178295,208,43676,499,131011,484,129779,15,1232,394,90960,201,48516,193,42444
SonyTV (FR) ,246600,633,156160,421,110661,212,45499,202,57396,202,57396,0,0,431,98764,219,53265,212,45499
SonyTV (FR) ,248400,679,169742,488,122310,191,47432,287,79344,287,79344,0,0,392,90398,201,42966,191,47432
SonyTV (FR) ,250200,757,202776,510,146733,247,56043,279,82747,264,81515,15,1232,478,120029,246,65218,232,54811
SonyTV (FR) ,252000,1026,279572,770,224851,256,54721,533,142845,518,141613,15,1232,493,136727,252,83238,241,53489
SonyTV (FR) ,253800,1120,721949,734,148389,386,573560,206,57460,206,57460,0,0,914,664489,528,90929,386,573560
SonyTV (FR) ,0,1796,511931,1017,339803,779,172128,1159,326143,703,262835,456,63308,637,185788,314,76968,323,108820
SonyTV (FR) ,1800,1564,386309,866,272764,698,113545,1045,284074,606,222059,439,62015,519,102235,260,50705,259,51530
SonyTV (FR) ,3600,1663,435904,930,307912,733,127992,1080,303553,646,241889,434,61664,583,132351,284,66023,299,66328
SonyTV (FR) ,5400,1751,448963,1003,326189,748,122774,1170,332782,716,269426,454,63356,581,116181,287,56763,294,59418
SonyTV (FR) ,7200,1720,441641,964,315717,756,125924,1131,316449,675,252961,456,63488,589,125192,289,62756,300,62436
SonyTV (FR) ,9000,1598,406765,895,292630,703,114135,1072,297386,631,235130,441,62256,526,109379,264,57500,262,51879
SonyTV (FR) ,10800,1545,380358,840,269396,705,110962,1027,277381,589,215453,438,61928,518,102977,251,53943,267,49034
SonyTV (FR) ,12600,1659,431117,932,296582,727,134535,1117,311214,663,247858,454,63356,542,119903,269,48724,273,71179
SonyTV (FR) ,14400,2326,1060312,1313,389163,1013,671149,1120,313813,664,250325,456,63488,1206,746499,649,138838,557,607661
SonyTV (FR) ,16200,1928,933405,1085,300409,843,632996,1057,288420,619,226362,438,62058,871,644985,466,74047,405,570938
SonyTV (FR) ,18000,1625,415816,892,294170,733,121646,1042,286595,605,224733,437,61862,583,129221,287,69437,296,59784
SonyTV (FR) ,19800,1961,769208,1140,400366,821,368842,1155,322008,698,258442,457,63566,806,447200,442,141924,364,305276
SonyTV (FR) ,21600,1721,442635,953,309527,768,133108,1102,308453,648,245097,454,63356,619,134182,305,64430,314,69752
SonyTV (FR) ,23400,1810,460943,1095,331413,715,129530,1276,341655,833,279267,443,62388,534,119288,262,52146,272,67142
SonyTV (FR) ,25200,1649,416608,930,303883,719,112725,1113,312983,674,250989,439,61994,536,103625,256,52894,280,50731
SonyTV (FR) ,27000,1689,435098,987,325759,702,109339,1195,338766,743,275542,452,63224,494,96332,244,50217,250,46115
SonyTV (FR) ,28800,1684,467670,927,307542,757,160128,1085,295628,630,232206,455,63422,599,172042,297,75336,302,96706
SonyTV (FR) ,30600,1691,426068,977,308885,714,117183,1149,311809,706,249421,443,62388,542,114259,271,59464,271,54795
SonyTV (FR) ,32400,1757,451958,974,325977,783,125981,1084,300635,642,238443,442,62192,673,151323,332,87534,341,63789
SonyTV (FR) ,34200,1713,452670,995,335801,718,116869,1184,343564,729,280142,455,63422,529,109106,266,55659,263,53447
SonyTV (FR) ,36000,2231,749850,1285,399449,946,350401,1220,356427,765,293005,455,63422,1011,393423,520,106444,491,286979
SonyTV (FR) ,37800,2169,1056285,1237,340511,932,715774,1062,296951,623,234957,439,61994,1107,759334,614,105554,493,653780
SonyTV (FR) ,39600,1626,409196,900,295271,726,113925,1077,298203,633,235749,444,62454,549,110993,267,59522,282,51471
SonyTV (FR) ,41400,1734,451801,1003,336423,731,115378,1191,345936,734,282382,457,63554,543,105865,269,54041,274,51824
SonyTV (FR) ,43200,1731,448696,989,325875,742,122821,1164,331776,708,268288,456,63488,567,116920,281,57587,286,59333
SonyTV (FR) ,45000,1875,508430,1047,342338,828,166092,1077,301700,641,239904,436,61796,798,206730,406,102434,392,104296
SonyTV (FR) ,46800,1994,851005,1123,381998,871,469007,1063,289631,619,227177,444,62454,931,561374,504,154821,427,406553
SonyTV (FR) ,48600,1711,444600,966,320704,745,123896,1139,319598,680,255900,459,63698,572,125002,286,64804,286,60198
SonyTV (FR) ,50400,1899,496316,1136,368922,763,127394,1297,368772,838,305086,459,63686,602,127544,298,63836,304,63708
SonyTV (FR) ,52200,1814,487827,1065,342575,749,145252,1189,343997,753,282189,436,61808,625,143830,312,60386,313,83444
SonyTV (FR) ,54000,1697,445635,958,331013,739,114622,1117,316411,676,254155,441,62256,580,129224,282,76858,298,52366
SonyTV (FR) ,55800,1859,503765,1045,322379,814,181386,1114,309478,654,245726,460,63752,745,194287,391,76653,354,117634
SonyTV (FR) ,57600,4162,3513196,2356,592591,1806,2920605,1139,320458,684,257036,455,63422,3023,3192738,1672,335555,1351,2857183
SonyTV (FR) ,59400,1717,443469,963,308384,754,135085,1081,302989,643,241061,438,61928,636,140480,320,67323,316,73157
SonyTV (FR) ,61200,1797,467895,997,314720,800,153175,1090,302944,647,240556,443,62388,707,164951,350,74164,357,90787
SonyTV (FR) ,63000,2037,963133,1199,331016,838,632117,1122,318396,668,255040,454,63356,915,644737,531,75976,384,568761
SonyTV (FR) ,64800,1760,460770,1002,326621,758,134149,1158,328210,703,264788,455,63422,602,132560,299,61833,303,70727
SonyTV (FR) ,66600,1558,394453,883,286083,675,108370,1092,299861,650,237669,442,62192,466,94592,233,48414,233,46178
