IP, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
44.240.111.222,api.meta.ndmdhs.com,api.meta.ndmdhs.com,United States,BE;JP;BE;BE,35,8295,16,6210,19,2085
23.200.87.150,a248.e.akamai.net,a248.e.akamai.net,France,US;US;US;US,34,20258,14,18548,20,1710
23.210.249.137,a248.e.akamai.net,a248.e.akamai.net,France,US;US;US;US,34,20258,14,18548,20,1710
44.231.61.240,arcus-uswest.amazon.com,arcus-uswest.amazon.com,United States,US;US;US;US;US;US;US,32,9034,16,6921,16,2113
52.222.169.67,threeplr-abdx8mxr6q3e.api.amazonvideo.com,threeplr-abdx8mxr6q3e.api.amazonvideo.com,United States,US;US;US;US;US;US;US,30,17831,13,15838,17,1993
44.225.84.51,api.meta.ndmdhs.com,api.meta.ndmdhs.com,United States,BE;JP;BE;BE,29,7899,15,6144,14,1755
52.17.211.173,nrdp70-appboot.netflix.com,nrdp70-appboot.netflix.com,Ireland,None,28,25641,10,9902,18,15739
18.196.27.158,atv-ar8de21s8pinm-sony-mt5893-bravia4kur3-sonybraviareleasekeys.api.amazonvideo.com,atv-ar8de21s8pinm-sony-mt5893-bravia4kur3-sonybraviareleasekeys.api.amazonvideo.com,Germany,US;US;US;US;US,28,13146,11,10664,17,2482
52.212.197.118,nrdp70-appboot.netflix.com,nrdp70-appboot.netflix.com,Ireland,None,26,25509,12,10034,14,15475
13.32.145.49,bravia-cfgdst-ore-pro.bda.ndmdhs.com,bravia-cfgdst-ore-pro.bda.ndmdhs.com,United States,BE;BE,25,8743,12,7219,13,1524
142.250.74.238,android.clients.google.com,android.clients.google.com,United States,US;US;US;BE;US,25,10896,11,9167,14,1729
52.25.158.229,ssm1.internet.sony.tv,ssm1.internet.sony.tv,United States,US;US;US;US;US;US;US,24,10650,9,8631,15,2019
13.32.145.58,bravia-cfgdst-ore-pro.bda.ndmdhs.com,bravia-cfgdst-ore-pro.bda.ndmdhs.com,United States,BE;BE,24,8700,11,7176,13,1524
52.222.174.123,metadata.erabu.sony.tv,metadata.erabu.sony.tv,United States,US;US;US;US;US;US;US,24,8750,10,7201,14,1549
142.250.75.238,android.clients.google.com,android.clients.google.com,United States,US;US;US;BE;US,24,10818,10,9101,14,1717
52.210.62.227,nrdp70-appboot.netflix.com,nrdp70-appboot.netflix.com,Ireland,None,24,25377,11,9968,13,15409
52.222.174.21,metadata.erabu.sony.tv,metadata.erabu.sony.tv,United States,US;US;US;US;US;US;US,23,8684,10,7201,13,1483
52.222.174.103,metadata.erabu.sony.tv,metadata.erabu.sony.tv,United States,US;US;US;US;US;US;US,23,8684,10,7201,13,1483
18.66.171.30,metadata.erabu.sony.tv,metadata.erabu.sony.tv,United States,US;US;US;US;US;US;US,23,8730,10,7247,13,1483
13.224.68.66,bravia-cfgdst-ore-pro.bda.ndmdhs.com,bravia-cfgdst-ore-pro.bda.ndmdhs.com,United States,BE;BE,23,8610,11,7152,12,1458
54.170.173.133,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,23,5509,11,3275,12,2234
34.255.15.69,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,22,8086,10,5890,12,2196
44.239.233.189,service.biv.sony.tv,service.biv.sony.tv,United States,US;US;US;US;US;US;US,22,10035,8,7554,14,2481
99.81.251.69,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,22,5443,10,3209,12,2234
34.237.111.59,device-metrics-us-2.amazon.com,device-metrics-us-2.amazon.com,United States,None,22,5146,11,1152,11,3994
54.217.21.108,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,22,5443,10,3209,12,2234
18.239.69.3,metadata.erabu.sony.tv,metadata.erabu.sony.tv,United States,US;US;US;US;US;US;US,22,8664,10,7247,12,1417
52.214.181.141,www.netflix.com,www.netflix.com,Ireland,None,21,6187,9,3640,12,2547
54.201.66.14,reg.biv.sony.tv,reg.biv.sony.tv,United States,US;US;US;US;US;US;US,21,8865,8,6994,13,1871
52.211.179.103,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,21,5381,10,3213,11,2168
54.246.79.9,www.netflix.com,www.netflix.com,Ireland,None,21,6185,9,3640,12,2545
54.155.178.5,www.netflix.com,www.netflix.com,Ireland,None,21,6185,9,3638,12,2547
54.217.35.13,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,20,5315,9,3147,11,2168
50.112.17.37,bdcore-apr-lb.bda.ndmdhs.com,bdcore-apr-lb.bda.ndmdhs.com,United States,BE;JP;BE;BE,20,7689,8,5182,12,2507
216.58.214.68,www.google.com,www.google.com,United States,US;US;US;BE;US,18,6430,7,5177,11,1253
104.84.81.161,static.internet.sony.tv,static.internet.sony.tv,United Kingdom,None,14,5729,5,5011,9,718
13.32.145.21,cdn.meta.ndmdhs.com,cdn.meta.ndmdhs.com,United States,None,10,1394,5,768,5,626
13.32.145.105,cdn.meta.ndmdhs.com,cdn.meta.ndmdhs.com,United States,None,10,1394,5,768,5,626
216.239.35.0,time.android.com,time.android.com,United States,None,2,180,1,90,1,90
216.239.35.4,time.android.com,time.android.com,United States,None,2,180,1,90,1,90
fe80::66ff:aff:fe88:af4a,None,None,None,None,23078,5993467,23078,5993467,0,0
ff02::fb,None,None,None,None,23078,5993467,0,0,23078,5993467
fdc4:22e1:d5d::1,None,None,None,None,2468,688300,1234,563287,1234,125013
fdc4:22e1:d5d:0:3545:ee40:6984:507e,None,None,None,None,836,234513,418,42534,418,191979
fdc4:22e1:d5d:0:35d0:b757:86d6:c0ec,None,None,None,None,832,232370,416,42071,416,190299
fdc4:22e1:d5d:0:57c:d141:6ee2:3389,None,None,None,None,800,221417,400,40408,400,181009
